Vendor,Product,Version,Vulnerabilities Fixed
ThemeFarmer,Ultimate Subscribe,Unknown,CVE-2025-23806
ThemeGlow,Cleanup – Directory Listing & Classifieds WordPress Plugin,Unknown,CVE-2025-24563
ThemeIsle,AI Chatbot for WordPress – Hyve Lite,Unknown,CVE-2025-24666
ThemePoints,Skill Bar,Unknown,CVE-2025-22805
Themefic,Tourfic,Unknown,CVE-2025-24650
Themeisle,PPOM for WooCommerce,Unknown,CVE-2025-24668
ThimPress,FundPress,Unknown,CVE-2025-24601
ThimPress,LearnPress,Unknown,CVE-2025-24740
ThimPress,Thim Elementor Kit,Unknown,"CVE-2025-22312, CVE-2025-24725"
Thomas Ehrhardt,Powie's pLinks PagePeeker,Unknown,CVE-2025-23641
Thomas Maier,Image Source Control,Unknown,CVE-2025-22711
Thorn Technologies LLC,Cache Sniper for Nginx,Unknown,CVE-2025-23776
Thorsten Krug,Multilang Contact Form,Unknown,CVE-2025-22795
ThriveDesk,ThriveDesk,Unknown,CVE-2025-24536
Tim Ridgway,Better Protected Pages,Unknown,CVE-2025-23875
"Tips and Tricks HQ, Ruhul Amin, Josh Lobe",Simple Download Monitor,Unknown,CVE-2025-24663
Tobias Spiess,TS Comfort DB,Unknown,CVE-2025-22345
Tock,Tock Widget,Unknown,CVE-2025-22520
Tom Ewer and Tito Pandu,Easy Tweet Embed,Unknown,CVE-2025-23890
Tor Morten Jensen,Foundation Columns,Unknown,CVE-2025-22747
Trellix,Trellix HX Console,5.1.1,CVE-2025-0617
Tribulant,Newsletters,Unknown,CVE-2025-24599
Trimble,Cityworks,0,CVE-2025-0994
Trimble,SPS851,488.01,"CVE-2025-0219, CVE-2025-0220"
Tripetto,"WordPress form builder plugin for contact forms, surveys and quizzes – Tripetto",Unknown,CVE-2025-22295
Tsinghua Unigroup,Electronic Archives System,3.2.210802(62532),"CVE-2025-0225, CVE-2025-0226, CVE-2025-0227"
Turcu Ciprian,Auto FTP,Unknown,CVE-2025-23793
Tushar Patel,Easy Portfolio,Unknown,CVE-2025-23796
Tussendoor internet & marketing,Call me Now,Unknown,CVE-2025-23745
Typomedia Foundation,WordPress Custom Sidebar,Unknown,CVE-2025-23912
UIUX Lab,Uix Shortcodes,Unknown,CVE-2025-22677
Ubiquiti Inc,UDM,4.1.13,CVE-2025-23091
Ugur CELIK,WP News Sliders,Unknown,CVE-2025-22779
Ujjaval Jani,Copy Move Posts,Unknown,CVE-2025-23764
